id	amount	month	date	orig	dest	cause
164	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
165	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
166	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
167	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
168	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
169	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
170	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
171	24.72	6	N/A	Guangdong	Beijing	Social Welfare & Poverty Alleviation
172	13.22	6	N/A	Guangdong	Beijing	Social Welfare & Poverty Alleviation
173	8.79	7	N/A	Guangdong	Beijing	Social Welfare & Poverty Alleviation
174	5.86	8	N/A	Guangdong	Beijing	Social Welfare & Poverty Alleviation
175	3.25	5	N/A	Guangdong	Beijing	Social Welfare & Poverty Alleviation
176	7.5	8	5	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
177	7.5	8	5	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
178	7.5	8	5	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
179	7.5	8	5	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
180	1.2	12	15	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
181	10	6	30	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
182	10	1	6	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
183	12.25	6	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
184	5	8	22	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
185	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
186	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
187	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
188	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
189	6.5	6	16	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
190	5	7	22	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
191	5	7	22	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
192	5	8	5	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
193	5	9	18	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
194	4.8	4	27	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
195	10	6	3	Guangdong	Beijing	Social Welfare & Poverty Alleviation
196	2	11	6	Guangdong	Beijing	Social Welfare & Poverty Alleviation
197	9	9	30	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
198	1	9	30	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
199	5	11	9	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
200	5	11	9	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
201	5	6	22	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
234	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
235	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
236	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
237	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
238	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
239	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
240	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
241	7.5	8	5	Guangxi	Guangdong	Social Welfare & Poverty Alleviation
244	2	12	29	Guizhou	Guizhou	Social Welfare & Poverty Alleviation
249	15	10	25	Hebei	Shandong	Social Welfare & Poverty Alleviation
266	113	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
267	100	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
268	1	11	9	Hubei	Hubei	Social Welfare & Poverty Alleviation
269	20	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
270	10	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
271		3	4	Hubei	Hubei	Social Welfare & Poverty Alleviation
272	32	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
273	20	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
274	10	1	29	Hubei	Hubei	Social Welfare & Poverty Alleviation
275	10	1	28	Hubei	Hubei	Social Welfare & Poverty Alleviation
276		12	18	Hubei	Hubei	Social Welfare & Poverty Alleviation
277	3	1	22	Hubei	Guangdong	Social Welfare & Poverty Alleviation
356	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
357	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
358	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
359	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
360	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
361	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
362	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
363	7.5	8	3	Jiangsu	Guangdong	Social Welfare & Poverty Alleviation
364	40	5	10	Jiangsu	Unspecified	Social Welfare & Poverty Alleviation
365	34.61	12	26	Jiangsu	Unspecified	Social Welfare & Poverty Alleviation
366	1	3	30	Jiangsu	Beijing	Social Welfare & Poverty Alleviation
367	0.5	3	9	Jiangsu	Nepal	Social Welfare & Poverty Alleviation
368	0.5	3	30	Jiangsu	Sichuan	Social Welfare & Poverty Alleviation
369	0.8	1		Jiangsu	Jiangsu	Social Welfare & Poverty Alleviation
389	3.333333333	2	14	Shanghai	Shanghai	Social Welfare & Poverty Alleviation
403	1	4	23	Tianjin	Sichuan	Social Welfare & Poverty Alleviation
404	1.5	10	15	Tianjin	Jiangsu	Social Welfare & Poverty Alleviation
406	20	10	16	Yunnan	Yunnan	Social Welfare & Poverty Alleviation
429	0.3	10	30	Zhejiang	Beijing	Social Welfare & Poverty Alleviation
